# Sundial demo flight log
# Synthetic L1850 two-stage-recovery profile, 50 Hz control loop
# Generated by examples/make_demo_log.py
# Time (s),state,altitude (m),velocity (m/s),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s),pressure (Pa),temperature (C),battery (V),gps_lat (deg),gps_lon (deg),gps_sats,rssi (dBm),mach,pyro_drogue,pyro_main
39.500,DROGUE,1514.383,-23.926,0.039,0.076,8.721,23.27,25.00,17.56,84660.5,11.67,8.2211,32.9403606,-106.9219255,11,-80.1,0.0000,0,0
39.520,DROGUE,1513.831,-24.196,0.247,0.175,8.860,19.12,24.23,2.30,84675.5,11.65,8.2265,32.9403618,-106.9219238,11,-79.1,0.0000,0,0
39.540,DROGUE,1513.318,-24.149,-0.089,0.180,9.180,16.27,21.71,-13.14,84677.0,11.69,8.2269,32.9403617,-106.9219239,11,-78.5,0.0000,0,0
39.560,DROGUE,1513.028,-23.996,-0.036,0.044,8.465,10.09,14.86,-23.45,84678.2,11.70,8.2297,32.9403606,-106.9219247,11,-77.8,0.0000,0,0
39.580,DROGUE,1512.486,-23.990,-0.171,0.134,8.410,4.75,13.48,-39.28,84695.1,11.74,8.2266,32.9403612,-106.9219242,11,-79.0,0.0000,0,0
39.600,DROGUE,1511.943,-23.886,-0.096,0.034,8.893,1.64,7.16,-51.47,84701.5,11.81,8.2312,32.9403620,-106.9219245,11,-77.6,0.0000,0,0
39.620,DROGUE,1511.583,-23.874,0.043,0.160,8.439,-1.66,5.83,-63.64,84705.4,11.53,8.2246,32.9403620,-106.9219244,11,-77.7,0.0000,0,0
39.640,DROGUE,1511.146,-24.173,-0.208,0.148,9.131,-3.72,2.54,-80.81,84695.8,11.79,8.2323,32.9403603,-106.9219239,11,-78.8,0.0000,0,0
39.660,DROGUE,1510.440,-24.154,-0.013,0.220,8.508,-10.78,-3.08,-93.29,84714.7,11.63,8.2270,32.9403602,-106.9219250,11,-78.8,0.0000,0,0
39.680,DROGUE,1510.145,-23.781,-0.095,0.194,8.586,-11.70,-6.58,-103.52,84705.4,11.59,8.2294,32.9403615,-106.9219236,11,-77.8,0.0000,0,0
39.700,DROGUE,1509.645,-23.855,-0.235,-0.216,8.535,-16.11,-11.50,-116.04,84716.3,11.82,8.2315,32.9403614,-106.9219244,11,-79.2,0.0000,0,0
39.720,DROGUE,1509.020,-24.030,-0.139,-0.158,9.078,-21.19,-12.21,-125.93,84730.0,11.74,8.2213,32.9403601,-106.9219253,11,-78.5,0.0000,0,0
39.740,DROGUE,1508.633,-23.854,-0.208,0.138,8.766,-26.26,-15.77,-138.71,84733.0,11.74,8.2272,32.9403606,-106.9219249,11,-79.4,0.0000,0,0
39.760,DROGUE,1508.193,-23.899,0.158,0.240,8.663,-32.11,-19.99,-146.53,84732.9,11.85,8.2253,32.9403611,-106.9219244,11,-78.6,0.0000,0,0
39.780,DROGUE,1507.759,-24.242,0.028,0.009,9.112,-32.14,-24.14,-154.80,84741.0,11.71,8.2225,32.9403598,-106.9219240,11,-79.6,0.0000,0,0
39.800,DROGUE,1507.181,-23.818,0.023,-0.009,8.827,-39.88,-29.17,-167.96,84734.1,11.75,8.2273,32.9403608,-106.9219253,11,-78.6,0.0000,0,0
39.820,DROGUE,1506.591,-24.004,-0.233,-0.048,8.673,-43.59,-34.32,-175.86,84738.8,11.80,8.2219,32.9403616,-106.9219237,11,-79.6,0.0000,0,0
39.840,DROGUE,1506.231,-23.979,-0.014,-0.042,9.090,-47.03,-35.28,-182.55,84753.1,11.68,8.2284,32.9403602,-106.9219248,11,-79.6,0.0000,0,0
39.860,DROGUE,1505.691,-24.198,0.076,0.224,8.924,-50.14,-39.64,-192.28,84758.1,11.69,8.2317,32.9403603,-106.9219242,11,-80.2,0.0000,0,0
39.880,DROGUE,1505.295,-23.921,-0.155,-0.026,8.444,-51.93,-42.76,-198.05,84756.4,11.78,8.2217,32.9403599,-106.9219251,11,-78.0,0.0000,0,0
39.900,DROGUE,1504.863,-23.982,-0.125,0.022,8.758,-57.29,-46.69,-200.90,84775.6,11.70,8.2221,32.9403599,-106.9219246,11,-77.3,0.0000,0,0
39.920,DROGUE,1504.281,-24.207,0.012,-0.182,9.000,-56.17,-50.94,-206.04,84764.4,11.69,8.2236,32.9403606,-106.9219234,11,-77.3,0.0000,0,0
39.940,DROGUE,1503.767,-24.131,0.148,0.066,8.584,-60.55,-51.35,-209.91,84785.6,11.81,8.2234,32.9403605,-106.9219231,11,-79.8,0.0000,0,0
39.960,DROGUE,1503.432,-24.040,0.229,0.096,8.894,-65.14,-56.62,-213.55,84783.0,11.69,8.2321,32.9403604,-106.9219236,11,-79.8,0.0000,0,0
39.980,DROGUE,1502.755,-24.135,0.024,-0.206,8.544,-68.54,-58.20,-217.06,84795.5,11.60,8.2203,32.9403607,-106.9219241,11,-78.3,0.0000,0,0
40.000,DROGUE,1502.430,-23.993,0.168,0.083,8.542,-69.90,-62.63,-221.96,84786.0,11.81,8.2252,32.9403601,-106.9219237,11,-76.8,0.0000,0,0
40.020,DROGUE,1501.949,-24.176,0.111,-0.187,8.823,-72.07,-63.25,-220.61,84798.0,11.76,8.2203,32.9403605,-106.9219232,11,-78.6,0.0000,0,0
40.040,DROGUE,1501.506,-23.805,0.031,-0.072,8.602,-74.20,-67.31,-219.75,84808.4,11.76,8.2314,32.9403605,-106.9219241,11,-79.4,0.0000,0,0
40.060,DROGUE,1501.009,-24.152,0.240,-0.155,8.771,-78.25,-69.03,-216.70,84808.4,11.74,8.2300,32.9403609,-106.9219235,11,-77.0,0.0000,0,0
40.080,DROGUE,1500.438,-24.037,-0.105,-0.197,8.774,-77.42,-73.47,-214.66,84810.4,11.76,8.2227,32.9403594,-106.9219232,11,-79.2,0.0000,0,0
40.100,DROGUE,1499.905,-24.235,0.067,-0.159,8.958,-80.89,-74.36,-215.64,84826.0,11.87,8.2295,32.9403600,-106.9219247,11,-77.6,0.0000,0,0
40.120,DROGUE,1499.562,-23.880,0.084,-0.037,8.767,-84.31,-73.25,-213.36,84824.3,11.77,8.2252,32.9403590,-106.9219233,11,-77.1,0.0000,0,0
40.140,DROGUE,1499.119,-23.850,0.240,-0.143,9.167,-84.23,-78.62,-205.46,84831.7,11.85,8.2287,32.9403596,-106.9219238,11,-77.5,0.0000,0,0
40.160,DROGUE,1498.601,-23.922,0.203,0.180,9.025,-87.49,-78.12,-200.87,84824.8,11.70,8.2246,32.9403593,-106.9219238,11,-78.3,0.0000,0,0
40.180,DROGUE,1498.064,-24.000,0.161,-0.105,8.760,-85.07,-83.00,-198.27,84843.9,11.86,8.2293,32.9403599,-106.9219237,11,-80.1,0.0000,0,0
40.200,DROGUE,1497.701,-24.200,-0.028,-0.227,8.872,-86.28,-83.60,-188.98,84846.0,11.86,8.2234,32.9403605,-106.9219230,11,-79.4,0.0000,0,0
40.220,DROGUE,1496.996,-23.902,-0.158,-0.235,8.768,-88.27,-83.24,-180.42,84853.7,11.85,8.2219,32.9403588,-106.9219233,11,-80.0,0.0000,0,0
40.240,DROGUE,1496.643,-23.840,0.196,0.128,9.063,-87.97,-86.29,-172.84,84858.2,11.68,8.2305,32.9403606,-106.9219233,11,-79.4,0.0000,0,0
40.260,DROGUE,1496.190,-24.146,-0.205,-0.007,8.857,-87.47,-84.82,-164.42,84846.0,11.88,8.2231,32.9403588,-106.9219245,11,-78.7,0.0000,0,0
40.280,DROGUE,1495.580,-24.242,-0.096,-0.154,9.114,-90.11,-85.82,-156.03,84858.4,11.81,8.2205,32.9403605,-106.9219232,11,-78.9,0.0000,0,0
40.300,DROGUE,1495.093,-24.214,0.164,-0.225,8.781,-88.86,-88.91,-150.20,84873.5,11.68,8.2241,32.9403600,-106.9219228,11,-78.6,0.0000,0,0
40.320,DROGUE,1494.698,-23.911,-0.008,0.238,9.125,-89.83,-88.65,-135.34,84862.9,11.67,8.2313,32.9403595,-106.9219230,11,-78.3,0.0000,0,0
40.340,DROGUE,1494.250,-24.018,-0.185,0.053,9.133,-90.39,-87.42,-128.22,84881.7,11.72,8.2234,32.9403603,-106.9219244,11,-77.7,0.0000,0,0
40.360,DROGUE,1493.720,-24.169,-0.005,0.006,9.150,-90.87,-90.87,-115.63,84882.0,11.85,8.2224,32.9403588,-106.9219234,11,-80.1,0.0000,0,0
40.380,DROGUE,1493.185,-23.821,0.241,-0.117,8.971,-87.48,-87.96,-100.03,84873.0,11.70,8.2269,32.9403595,-106.9219232,11,-77.7,0.0000,0,0
40.400,DROGUE,1492.731,-23.893,-0.192,-0.128,8.558,-88.14,-89.44,-89.55,84891.0,11.78,8.2266,32.9403587,-106.9219241,11,-78.2,0.0000,0,0
40.420,DROGUE,1492.371,-24.154,-0.108,-0.004,8.471,-84.82,-91.90,-80.01,84895.4,11.66,8.2280,32.9403595,-106.9219239,11,-77.0,0.0000,0,0
40.440,DROGUE,1491.826,-23.816,0.098,0.145,9.021,-86.79,-87.04,-66.64,84908.1,11.83,8.2298,32.9403593,-106.9219235,11,-77.6,0.0000,0,0
40.460,DROGUE,1491.465,-24.035,0.198,0.064,8.514,-83.15,-86.65,-50.71,84895.4,11.66,8.2197,32.9403585,-106.9219226,11,-79.1,0.0000,0,0
40.480,DROGUE,1490.869,-23.796,0.130,0.077,8.496,-83.13,-88.92,-38.79,84917.0,11.73,8.2200,32.9403588,-106.9219242,11,-79.6,0.0000,0,0
40.500,DROGUE,1490.387,-24.191,0.048,0.209,9.098,-78.37,-86.03,-22.15,84922.6,11.85,8.2204,32.9403597,-106.9219226,11,-78.2,0.0000,0,0
40.520,DROGUE,1489.949,-23.785,-0.134,0.067,8.901,-76.68,-86.44,-8.41,84910.4,11.67,8.2281,32.9403584,-106.9219236,11,-78.9,0.0000,0,0
40.540,DROGUE,1489.529,-24.103,-0.183,-0.124,8.513,-73.78,-86.80,4.89,84912.9,11.67,8.2278,32.9403592,-106.9219230,11,-77.9,0.0000,0,0
40.560,DROGUE,1488.958,-23.782,-0.180,0.061,9.143,-76.13,-86.25,13.03,84926.4,11.84,8.2227,32.9403594,-106.9219223,11,-77.1,0.0000,0,0
40.580,DROGUE,1488.357,-24.240,0.137,-0.098,8.843,-70.54,-83.37,31.02,84938.4,11.70,8.2258,32.9403595,-106.9219235,11,-77.6,0.0000,0,0
40.600,DROGUE,1488.070,-24.230,-0.010,-0.062,9.036,-69.16,-83.68,42.63,84940.8,11.80,8.2257,32.9403597,-106.9219240,11,-77.3,0.0000,0,0
40.620,DROGUE,1487.479,-24.182,0.076,-0.156,8.828,-65.51,-81.99,57.55,84931.3,11.96,8.2246,32.9403578,-106.9219227,11,-79.9,0.0000,0,0
40.640,DROGUE,1487.083,-23.964,0.089,0.237,8.660,-61.41,-79.45,66.45,84943.6,11.73,8.2203,32.9403587,-106.9219237,11,-79.8,0.0000,0,0
40.660,DROGUE,1486.501,-24.012,-0.245,0.053,8.939,-59.08,-76.56,82.91,84954.5,11.76,8.2254,32.9403593,-106.9219241,11,-77.5,0.0000,0,0
40.680,DROGUE,1485.961,-24.151,-0.192,-0.104,9.023,-54.98,-74.54,94.23,84965.7,11.93,8.2239,32.9403583,-106.9219226,11,-78.8,0.0000,0,0
40.700,DROGUE,1485.528,-24.216,-0.083,0.182,8.683,-54.42,-74.14,106.92,84958.7,11.86,8.2212,32.9403578,-106.9219231,11,-77.6,0.0000,0,0
40.720,DROGUE,1485.096,-24.199,-0.141,-0.111,8.772,-48.83,-70.19,117.01,84976.1,11.84,8.2298,32.9403589,-106.9219227,11,-78.9,0.0000,0,0
40.740,DROGUE,1484.599,-24.235,-0.246,-0.147,8.849,-46.93,-64.70,132.49,84975.3,11.81,8.2206,32.9403587,-106.9219223,11,-77.4,0.0000,0,0
40.760,DROGUE,1484.063,-24.013,-0.081,-0.001,8.815,-43.54,-63.37,140.12,84977.7,11.86,8.2297,32.9403579,-106.9219235,11,-77.6,0.0000,0,0
40.780,DROGUE,1483.670,-24.057,0.221,0.069,8.631,-41.53,-59.59,152.53,84981.7,11.94,8.2220,32.9403574,-106.9219239,11,-78.1,0.0000,0,0
40.800,DROGUE,1483.196,-24.011,-0.073,0.206,8.807,-36.63,-61.14,160.09,84993.1,11.73,8.2267,32.9403573,-106.9219228,11,-78.0,0.0000,0,0
40.820,DROGUE,1482.641,-23.904,-0.187,0.014,8.661,-29.39,-56.66,172.03,84980.8,11.92,8.2303,32.9403580,-106.9219238,11,-77.6,0.0000,0,0
40.840,DROGUE,1482.157,-23.986,0.014,-0.017,8.945,-26.86,-51.48,178.45,85002.6,11.82,8.2202,32.9403575,-106.9219232,11,-78.1,0.0000,0,0
40.860,DROGUE,1481.821,-24.034,-0.204,0.231,8.630,-23.75,-52.34,182.77,84990.2,12.01,8.2215,32.9403585,-106.9219229,11,-76.8,0.0000,0,0
40.880,DROGUE,1481.338,-23.806,-0.044,-0.080,8.812,-19.52,-48.67,195.14,85006.0,11.76,8.2230,32.9403590,-106.9219231,11,-77.7,0.0000,0,0
40.900,DROGUE,1480.751,-24.161,-0.083,0.233,8.484,-14.39,-44.77,197.95,85016.8,11.92,8.2239,32.9403586,-106.9219232,11,-77.0,0.0000,0,0
40.920,DROGUE,1480.244,-23.864,0.196,-0.124,9.192,-13.52,-38.26,201.37,85008.6,11.94,8.2250,32.9403590,-106.9219219,11,-77.5,0.0000,0,0
40.940,DROGUE,1479.863,-24.059,0.173,-0.239,9.140,-6.52,-37.76,209.01,85022.5,11.78,8.2227,32.9403584,-106.9219229,11,-77.8,0.0000,0,0
40.960,DROGUE,1479.441,-24.100,-0.133,-0.147,8.686,-1.57,-32.97,209.69,85018.1,11.85,8.2272,32.9403587,-106.9219222,11,-78.6,0.0000,0,0
40.980,DROGUE,1478.862,-24.077,0.010,-0.242,8.586,1.14,-27.73,217.79,85028.9,11.83,8.2299,32.9403575,-106.9219221,11,-76.7,0.0000,0,0
41.000,DROGUE,1478.401,-23.862,0.222,0.163,9.144,3.08,-28.51,215.94,85024.1,12.02,8.2270,32.9403575,-106.9219218,11,-77.4,0.0000,0,0
41.020,DROGUE,1478.001,-24.219,0.166,0.018,8.535,7.97,-21.91,218.09,85039.2,11.93,8.2246,32.9403573,-106.9219230,11,-79.0,0.0000,0,0
41.040,DROGUE,1477.532,-24.230,-0.107,0.202,8.429,11.25,-20.78,220.31,85052.0,11.98,8.2292,32.9403584,-106.9219215,11,-79.7,0.0000,0,0
41.060,DROGUE,1476.927,-23.958,-0.069,-0.143,8.439,15.12,-13.51,218.73,85057.7,11.85,8.2246,32.9403577,-106.9219232,11,-78.5,0.0000,0,0
41.080,DROGUE,1476.449,-23.769,-0.179,0.164,8.914,19.03,-11.84,220.08,85062.1,11.84,8.2217,32.9403573,-106.9219227,11,-76.9,0.0000,0,0
41.100,DROGUE,1476.005,-23.915,0.141,0.219,8.887,25.42,-6.79,216.67,85051.9,11.88,8.2248,32.9403578,-106.9219227,11,-78.1,0.0000,0,0
41.120,DROGUE,1475.426,-23.975,-0.098,-0.022,8.666,28.43,-4.05,211.32,85060.0,11.76,8.2229,32.9403569,-106.9219220,11,-78.3,0.0000,0,0
41.140,DROGUE,1475.086,-23.906,-0.033,0.133,8.983,34.66,0.23,212.02,85068.5,11.90,8.2229,32.9403581,-106.9219216,11,-79.3,0.0000,0,0
41.160,DROGUE,1474.504,-23.941,-0.163,-0.067,8.681,34.79,1.44,203.77,85075.6,12.03,8.2228,32.9403580,-106.9219215,11,-78.0,0.0000,0,0
41.180,DROGUE,1474.135,-24.248,-0.148,-0.170,8.579,39.90,8.79,203.56,85084.4,11.87,8.2264,32.9403565,-106.9219217,11,-77.2,0.0000,0,0
41.200,DROGUE,1473.604,-23.943,0.066,-0.020,8.601,44.64,11.21,197.21,85089.5,11.79,8.2216,32.9403577,-106.9219221,11,-78.7,0.0000,0,0
41.220,DROGUE,1473.183,-24.148,-0.017,-0.050,8.794,47.43,16.90,190.27,85089.6,11.78,8.2255,32.9403574,-106.9219219,11,-79.9,0.0000,0,0
41.240,DROGUE,1472.572,-23.923,-0.149,0.218,8.729,49.10,20.84,178.52,85092.1,11.85,8.2288,32.9403567,-106.9219221,11,-78.3,0.0000,0,0
41.260,DROGUE,1472.169,-23.805,0.113,0.206,8.704,53.05,23.36,174.67,85096.4,11.99,8.2242,32.9403571,-106.9219214,11,-77.8,0.0000,0,0
41.280,DROGUE,1471.667,-23.883,0.161,-0.212,9.077,58.90,24.11,160.45,85109.6,11.88,8.2272,32.9403565,-106.9219226,11,-76.9,0.0000,0,0
41.300,DROGUE,1471.313,-24.055,-0.072,-0.170,9.169,60.63,28.29,155.15,85116.3,11.95,8.2244,32.9403565,-106.9219214,11,-79.1,0.0000,0,0
41.320,DROGUE,1470.792,-23.924,-0.248,0.091,8.859,65.93,31.44,141.12,85114.9,11.91,8.2203,32.9403567,-106.9219218,11,-76.7,0.0000,0,0
41.340,DROGUE,1470.243,-24.019,0.071,0.190,8.976,65.60,36.17,131.04,85124.4,12.04,8.2203,32.9403577,-106.9219223,11,-79.1,0.0000,0,0
41.360,DROGUE,1469.643,-24.066,-0.202,-0.034,8.611,69.99,38.89,122.09,85115.8,11.87,8.2208,32.9403564,-106.9219220,11,-78.4,0.0000,0,0
41.380,DROGUE,1469.390,-23.880,-0.140,0.071,8.912,71.87,41.78,108.06,85117.1,11.94,8.2239,32.9403565,-106.9219228,11,-78.3,0.0000,0,0
41.400,DROGUE,1468.857,-23.802,0.247,-0.112,9.009,73.76,47.99,101.65,85119.7,11.86,8.2249,32.9403574,-106.9219218,11,-79.3,0.0000,0,0
41.420,DROGUE,1468.261,-23.912,0.159,-0.208,9.038,77.17,48.22,86.47,85131.9,12.08,8.2265,32.9403574,-106.9219222,11,-76.5,0.0000,0,0
41.440,DROGUE,1467.846,-24.237,0.152,-0.110,8.519,76.77,52.62,76.59,85145.0,11.91,8.2228,32.9403570,-106.9219226,11,-77.7,0.0000,0,0
41.460,DROGUE,1467.233,-23.839,-0.035,0.148,9.030,79.83,57.07,62.73,85147.0,12.07,8.2204,32.9403563,-106.9219219,11,-79.9,0.0000,0,0
41.480,DROGUE,1466.988,-24.170,-0.162,0.020,8.870,80.12,60.97,49.40,85155.9,11.97,8.2258,32.9403574,-106.9219225,11,-79.4,0.0000,0,0
41.500,DROGUE,1466.494,-23.959,0.000,-0.218,8.445,85.05,63.44,34.52,85158.6,12.12,8.2233,32.9403565,-106.9219220,11,-77.9,0.0000,0,0
41.520,DROGUE,1465.937,-23.879,-0.137,0.107,8.822,84.07,62.92,20.01,85148.4,11.83,8.2177,32.9403558,-106.9219227,11,-79.7,0.0000,0,0
41.540,DROGUE,1465.465,-23.984,-0.107,-0.155,8.518,87.91,65.08,5.56,85170.7,12.01,8.2242,32.9403567,-106.9219226,11,-78.2,0.0000,0,0
41.560,DROGUE,1464.993,-24.134,0.190,0.231,8.786,89.87,69.85,-7.64,85166.0,11.87,8.2239,32.9403572,-106.9219226,11,-77.7,0.0000,0,0
41.580,DROGUE,1464.517,-24.011,-0.185,-0.093,8.787,86.84,72.76,-17.63,85173.6,11.97,8.2176,32.9403559,-106.9219214,11,-79.2,0.0000,0,0
41.600,DROGUE,1463.921,-23.988,-0.008,-0.077,8.546,90.32,71.74,-33.54,85176.8,11.94,8.2247,32.9403572,-106.9219208,11,-76.4,0.0000,0,0
41.620,DROGUE,1463.525,-23.978,0.070,0.039,8.457,89.34,78.40,-49.62,85193.8,11.86,8.2248,32.9403573,-106.9219217,11,-78.4,0.0000,0,0
41.640,DROGUE,1463.158,-23.992,-0.099,-0.250,9.137,89.81,80.53,-63.35,85179.7,12.02,8.2167,32.9403558,-106.9219219,11,-77.4,0.0000,0,0
41.660,DROGUE,1462.514,-24.028,0.151,-0.122,9.147,89.77,81.10,-73.76,85196.3,12.09,8.2213,32.9403566,-106.9219220,11,-78.0,0.0000,0,0
41.680,DROGUE,1461.997,-23.903,-0.131,0.070,8.470,88.34,80.51,-88.59,85199.4,12.05,8.2274,32.9403571,-106.9219217,11,-78.5,0.0000,0,0
41.700,DROGUE,1461.602,-24.152,-0.092,-0.161,8.961,88.70,83.56,-96.23,85204.3,12.03,8.2184,32.9403564,-106.9219212,11,-77.7,0.0000,0,0
41.720,DROGUE,1461.227,-23.809,0.079,0.129,8.640,89.17,85.87,-111.40,85218.0,12.02,8.2210,32.9403569,-106.9219207,11,-76.6,0.0000,0,0
41.740,DROGUE,1460.552,-24.043,0.075,-0.120,8.574,89.62,83.57,-124.94,85218.4,11.88,8.2178,32.9403566,-106.9219207,11,-79.6,0.0000,0,0
41.760,DROGUE,1460.135,-24.045,0.046,-0.090,8.764,87.80,84.85,-130.97,85222.3,12.13,8.2203,32.9403552,-106.9219221,11,-77.8,0.0000,0,0
41.780,DROGUE,1459.637,-23.958,0.009,-0.150,8.497,87.77,87.89,-143.11,85215.0,11.98,8.2191,32.9403556,-106.9219221,11,-78.2,0.0000,0,0
41.800,DROGUE,1459.316,-24.132,0.123,-0.067,8.840,83.92,87.38,-154.63,85216.3,11.94,8.2181,32.9403555,-106.9219215,11,-77.5,0.0000,0,0
41.820,DROGUE,1458.764,-23.895,0.068,-0.047,9.182,85.92,89.44,-162.97,85228.5,11.91,8.2207,32.9403568,-106.9219220,11,-77.8,0.0000,0,0
41.840,DROGUE,1458.281,-23.785,0.076,-0.075,8.929,83.79,87.08,-174.92,85233.0,11.89,8.2277,32.9403554,-106.9219212,11,-77.0,0.0000,0,0
41.860,DROGUE,1457.835,-24.110,0.227,-0.235,9.026,81.68,90.56,-179.39,85250.2,12.12,8.2275,32.9403555,-106.9219223,11,-79.2,0.0000,0,0
41.880,DROGUE,1457.325,-23.864,-0.158,-0.086,8.748,78.16,91.39,-186.84,85247.7,12.02,8.2208,32.9403551,-106.9219207,11,-77.4,0.0000,0,0
41.900,DROGUE,1456.693,-23.874,0.196,-0.148,8.725,79.12,89.58,-194.97,85249.7,11.94,8.2253,32.9403563,-106.9219219,11,-76.9,0.0000,0,0
41.920,DROGUE,1456.296,-24.196,0.243,0.234,9.029,76.68,87.83,-199.66,85259.2,12.00,8.2171,32.9403548,-106.9219207,11,-77.8,0.0000,0,0
41.940,DROGUE,1455.826,-23.787,0.122,-0.003,8.620,73.63,91.11,-207.71,85268.7,12.03,8.2266,32.9403554,-106.9219215,11,-78.9,0.0000,0,0
41.960,DROGUE,1455.481,-23.980,-0.143,0.225,8.710,68.33,88.47,-207.67,85274.4,11.93,8.2159,32.9403557,-106.9219214,11,-76.6,0.0000,0,0
41.980,DROGUE,1454.832,-23.882,0.127,-0.160,8.523,65.29,89.83,-216.11,85281.7,12.09,8.2162,32.9403558,-106.9219221,11,-78.4,0.0000,0,0
42.000,DROGUE,1454.478,-23.923,0.078,-0.176,8.751,65.23,85.44,-217.86,85282.5,11.97,8.2179,32.9403563,-106.9219215,11,-76.6,0.0000,0,0
42.020,DROGUE,1453.904,-24.209,0.097,-0.224,8.721,58.51,86.91,-216.05,85276.7,12.09,8.2253,32.9403560,-106.9219217,11,-78.9,0.0000,0,0
42.040,DROGUE,1453.484,-24.204,-0.178,-0.051,8.931,59.31,84.13,-221.31,85292.1,12.11,8.2248,32.9403563,-106.9219217,11,-76.9,0.0000,0,0
42.060,DROGUE,1453.042,-24.198,0.222,-0.020,9.196,56.50,83.18,-221.06,85281.0,11.95,8.2262,32.9403561,-106.9219216,11,-78.6,0.0000,0,0
42.080,DROGUE,1452.594,-23.795,-0.065,-0.126,9.087,51.06,81.49,-219.70,85299.7,11.99,8.2232,32.9403549,-106.9219216,11,-79.5,0.0000,0,0
42.100,DROGUE,1452.024,-24.136,-0.054,0.087,8.536,46.65,80.82,-216.12,85293.8,12.19,8.2178,32.9403554,-106.9219216,11,-77.9,0.0000,0,0
42.120,DROGUE,1451.412,-24.065,0.221,0.016,8.980,45.25,77.19,-218.12,85300.2,12.09,8.2156,32.9403558,-106.9219212,11,-77.7,0.0000,0,0
42.140,DROGUE,1451.054,-24.147,-0.135,0.113,8.904,38.92,77.65,-215.71,85307.0,11.98,8.2225,32.9403545,-106.9219207,11,-79.6,0.0000,0,0
42.160,DROGUE,1450.587,-24.059,0.032,0.092,8.627,36.96,78.03,-205.91,85304.5,11.97,8.2215,32.9403541,-106.9219214,11,-78.5,0.0000,0,0
42.180,DROGUE,1450.068,-23.886,-0.050,-0.026,8.597,33.36,73.58,-202.71,85316.0,12.03,8.2259,32.9403541,-106.9219218,11,-76.5,0.0000,0,0
42.200,DROGUE,1449.669,-23.844,0.073,0.011,8.626,30.86,70.50,-201.17,85316.5,12.23,8.2206,32.9403558,-106.9219207,11,-77.7,0.0000,0,0
42.220,DROGUE,1449.007,-24.248,-0.073,-0.243,8.489,27.13,70.19,-193.36,85338.4,12.22,8.2242,32.9403551,-106.9219201,11,-78.9,0.0000,0,0
42.240,DROGUE,1448.669,-24.079,-0.163,0.236,8.624,22.41,66.86,-183.52,85341.8,12.04,8.2164,32.9403539,-106.9219217,11,-77.2,0.0000,0,0
42.260,DROGUE,1448.155,-23.962,0.026,0.129,9.144,15.55,63.09,-180.41,85344.5,12.02,8.2249,32.9403551,-106.9219216,11,-78.7,0.0000,0,0
42.280,DROGUE,1447.714,-24.045,-0.233,-0.152,9.067,10.57,59.82,-166.41,85335.9,12.23,8.2234,32.9403553,-106.9219207,11,-77.0,0.0000,0,0
42.300,DROGUE,1447.225,-24.167,0.001,0.217,8.525,6.81,57.50,-159.97,85341.3,12.18,8.2178,32.9403541,-106.9219213,11,-79.1,0.0000,0,0
42.320,DROGUE,1446.793,-24.233,-0.051,0.024,8.457,2.97,55.98,-151.25,85348.1,12.18,8.2201,32.9403557,-106.9219216,11,-79.3,0.0000,0,0
42.340,DROGUE,1446.271,-24.130,0.136,-0.082,9.111,-1.35,51.93,-140.84,85349.8,11.99,8.2240,32.9403543,-106.9219201,11,-76.7,0.0000,0,0
42.360,DROGUE,1445.770,-24.245,-0.070,0.018,8.409,-1.87,48.25,-129.76,85361.9,12.15,8.2224,32.9403542,-106.9219213,11,-77.3,0.0000,0,0
42.380,DROGUE,1445.165,-24.122,-0.028,-0.050,8.871,-9.79,47.37,-118.49,85358.0,12.24,8.2252,32.9403543,-106.9219206,11,-77.9,0.0000,0,0
42.400,DROGUE,1444.879,-24.063,0.209,0.020,8.617,-10.76,42.16,-106.86,85363.3,12.05,8.2153,32.9403547,-106.9219200,11,-77.1,0.0000,0,0
42.420,DROGUE,1444.228,-24.151,0.067,-0.216,8.733,-17.87,41.50,-96.42,85381.8,12.10,8.2156,32.9403546,-106.9219199,11,-77.4,0.0000,0,0
42.440,DROGUE,1443.711,-23.789,0.112,-0.177,8.792,-20.83,37.24,-84.58,85392.6,12.19,8.2236,32.9403534,-106.9219210,11,-76.8,0.0000,0,0
42.460,DROGUE,1443.334,-24.178,-0.012,-0.063,8.551,-22.69,34.07,-69.66,85377.8,12.19,8.2174,32.9403536,-106.9219200,11,-78.6,0.0000,0,0
42.480,DROGUE,1442.908,-24.212,0.037,0.211,9.117,-25.85,28.26,-54.85,85395.1,12.08,8.2262,32.9403551,-106.9219203,11,-77.9,0.0000,0,0
42.500,DROGUE,1442.293,-23.779,0.074,0.008,8.415,-31.38,26.25,-45.87,85395.9,12.11,8.2186,32.9403534,-106.9219198,11,-78.6,0.0000,0,0
42.520,DROGUE,1441.875,-23.812,-0.166,-0.049,8.588,-35.95,21.55,-30.86,85410.8,12.18,8.2250,32.9403533,-106.9219204,11,-78.4,0.0000,0,0
42.540,DROGUE,1441.381,-23.868,-0.047,-0.116,9.188,-41.03,18.35,-15.12,85410.0,12.15,8.2206,32.9403539,-106.9219196,11,-78.3,0.0000,0,0
